Date created,Year,MARYLAND,Allegany County,Anne Arundel County,Baltimore City,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,Somerset County,St. Mary's County,Talbot County,Washington County,Wicomico County,Worcester County
2018-08-02T00:00:00.000,1970,21850.00,15513.00,20728.00,18245.00,22537.00,18047.00,15951.00,18713.00,17682.00,19706.00,16276.00,18816.00,11632.00,19667.00,25386.00,16956.00,32293.00,23307.00,18933.00,19218.00,12502.00,20044.00,17067.00,17627.00,16853.00
2018-08-02T00:00:00.000,1980,26107.00,18535.00,27118.00,21425.00,27714.00,23883.00,16301.00,24974.00,20591.00,24573.00,18499.00,23884.00,16218.00,25338.00,34378.00,19171.00,36928.00,25281.00,22894.00,19933.00,13752.00,26156.00,21030.00,17994.00,18025.00
2018-08-02T00:00:00.000,1990,34205.00,22761.00,34360.00,26829.00,35777.00,32814.00,22372.00,31537.00,27578.00,31391.00,24351.00,30580.00,20306.00,30641.00,41844.00,28799.00,48292.00,33245.00,32500.00,27053.00,18953.00,36509.00,24630.00,25619.00,29940.00
2018-08-02T00:00:00.000,2000,42688.00,25415.00,46013.00,30543.00,44564.00,38347.00,27553.00,39913.00,34670.00,38017.00,29383.00,39621.00,28050.00,38572.00,54361.00,38135.00,62308.00,36117.00,43047.00,36543.00,23680.00,48393.00,30314.00,30100.00,35440.00
2018-08-02T00:00:00.000,2005,46934.00,31102.00,51995.00,33233.00,47381.00,44645.00,32683.00,43269.00,36691.00,43136.00,33625.00,45245.00,32324.00,43132.00,58860.00,45919.00,69305.00,37472.00,47037.00,40887.00,24263.00,57701.00,34153.00,33473.00,41739.00
2018-08-02T00:00:00.000,2010,49069.00,31565.00,52155.00,37093.00,48433.00,49169.00,33616.00,47202.00,36948.00,46961.00,34910.00,48300.00,34001.00,45733.00,62782.00,44360.00,69675.00,40199.00,48103.00,46012.00,24965.00,56230.00,36170.00,33773.00,43656.00
2018-08-02T00:00:00.000,2015,51354.00,33771.00,55624.00,41155.00,49893.00,51338.00,38543.00,51328.00,39358.00,47756.00,37905.00,50034.00,37436.00,48186.00,63941.00,48663.00,71177.00,40875.00,51580.00,47296.00,26844.00,59817.00,38633.00,35369.00,50406.00
2018-08-02T00:00:00.000,2016,52431.00,34657.00,56361.00,42485.00,50824.00,52102.00,39005.00,52101.00,39889.00,48404.00,38298.00,50642.00,37517.00,48981.00,64910.00,49350.00,73127.00,41698.00,52337.00,48018.00,26690.00,60486.00,39261.00,35876.00,51252.00
2018-08-02T00:00:00.000,2020,56854.00,36135.00,63934.00,49076.00,56094.00,52566.00,38525.00,51674.00,45498.00,50350.00,39658.00,52262.00,44078.00,55363.00,74633.00,55114.00,77059.00,44002.00,57493.00,32281.00,51220.00,65581.00,41584.00,38710.00,51903.00
2018-08-02T00:00:00.000,2025,60112.00,38496.00,68365.00,52681.00,58603.00,55490.00,40996.00,54504.00,48053.00,53197.00,42064.00,55243.00,47135.00,59245.00,79384.00,59415.00,80945.00,45980.00,61273.00,34138.00,54973.00,69764.00,44166.00,40370.00,55404.00
2018-08-02T00:00:00.000,2030,62541.00,40392.00,71950.00,54854.00,60377.00,57685.00,42967.00,56616.00,49954.00,55342.00,43566.00,57516.00,49599.00,62433.00,82990.00,63051.00,83769.00,47360.00,64291.00,35559.00,58091.00,73376.00,46028.00,42052.00,58231.00
2018-08-02T00:00:00.000,2035,64943.00,42373.00,75495.00,56790.00,62207.00,59963.00,45027.00,58790.00,51814.00,57564.00,45105.00,59880.00,52152.00,65774.00,86690.00,66823.00,86701.00,48582.00,67287.00,37038.00,61361.00,76382.00,47795.00,43793.00,61182.00
2018-08-02T00:00:00.000,2040,67600.00,44530.00,79267.00,58928.00,64222.00,62445.00,47268.00,61156.00,53809.00,59985.00,46802.00,62456.00,54785.00,69407.00,90710.00,70901.00,89918.00,50507.00,70481.00,38649.00,64913.00,79465.00,49664.00,45367.00,64392.00
