Name,CountyFP,Number
Allegany County,1,34657
Anne Arundel County,3,56361
Baltimore County,5,50824
Calvert County,9,52102
Caroline County,11,39005
Carroll County,13,52101
Cecil County,15,39889
Charles County,17,48404
Dorchester County,19,38298
Frederick County,21,50642
Garrett County,23,37517
Harford County,25,48981
Howard County,27,64910
Kent County,29,49350
Montgomery County,31,73127
Prince George's County,33,41698
Queen Anne's County,35,52337
St. Mary's County,37,26690
Somerset County,39,48018
Talbot County,41,60486
Washington County,43,39261
Wicomico County,45,35876
Worcester County,47,51252
Baltimore City,510,42485
