Academic Year,LEA Number,LEA Name,Wealth Per Pupil,Expenditures Per Pupil,Instruction Staff Per Thousand,Prof Support Staff Per Thousand,Instruction Assist Per Thousand,Hours Per Day Average,Days Per Year Average,Create Date,CountyFP
2016,1,Allegany,294349,13553,71.1,14.2,18,6.6,180,20170403,1
2016,2,Anne Arundel,586971,12987,68.3,11.8,11.3,6.5,181,20170403,3
2016,3,Baltimore County,474310,13203,65.6,11.4,9.5,6.5,182,20170403,5
2016,4,Calvert,453195,13725,62.8,12.1,19.1,6.8,180,20170403,9
2016,5,Caroline,284996,12400,73.1,10,21.7,6.8,180,20170403,11
2016,6,Carroll,443654,13253,72.1,12.5,13.4,6.6,180,20170403,13
2016,7,Cecil,372593,12741,74.6,11.9,12.3,7,180,20170403,15
2016,8,Charles,379644,13427,68.8,11.3,19,6.6,180,20170403,17
2016,9,Dorchester,357707,13962,82.6,15.1,15.2,6.7,180,20170403,19
2016,10,Frederick,402478,12661,64.7,10.5,21.8,6.7,180,20170403,21
2016,11,Garrett,623611,14834,75.7,10.6,13.8,6.6,180,20170403,23
2016,12,Harford,441781,12481,70,11.1,19.7,6.6,178,20170403,25
2016,13,Howard,536841,15397,75.8,13.1,22.9,6.6,179,20170403,27
2016,14,Kent,780720,14027,76.4,13.6,18.7,6.5,179,20170403,29
2016,15,Montgomery,657040,15002,66.7,11.4,15.8,6.5,179,20170403,31
2016,16,Prince George's,375004,14102,69.5,9.9,15.7,6.4,177,20170403,33
2016,17,Queen Anne's,559848,12457,68.1,9.3,11.1,6.8,177,20170403,35
2016,18,Saint Mary's,426445,12171,60.5,9.8,14.4,6.8,180,20170403,37
2016,19,Somerset,290524,15370,78.7,14.4,19.3,7.3,180,20170403,39
2016,20,Talbot,1029199,11869,71,10.8,10.4,6.6,180,20170403,41
2016,21,Washington,334161,12720,68.3,10.5,14.9,6.6,180,20170403,43
2016,22,Wicomico,277692,13094,75.7,11.4,25.7,6.6,177,20170403,45
2016,23,Worcester,1094782,16960,91.2,12.6,28.1,7,180,20170403,47
2016,30,Baltimore City,272638,14991,63.9,11.1,14.3,6.7,179,20170403,510
2016,A,All Public Schools,473985,13893,68.3,11.3,15.5,6.6,179,20170403,
