JURISDICTION,YEAR,POPULATION,"VIOLENT CRIME RATE PER 100,000 PEOPLE","PROPERTY CRIME RATE PER 100,000 PEOPLE",Overall Crime Rate
Allegany County,1/1/1975,79655,178.3,2745.6,Very high
Allegany County,1/1/1976,83923,103.7,2428.4,Very high
Allegany County,1/1/1977,82102,154.7,2538.3,Very high
Allegany County,1/1/1978,79966,127.6,2537.3,Very high
Allegany County,1/1/1979,79721,138,2774.7,Very high
Allegany County,1/1/1980,80461,147.9,2926.9,Very high
Allegany County,1/1/1981,81781,182.2,2841.7,Very high
Allegany County,1/1/1982,81858,142.9,2531.2,Very high
Allegany County,1/1/1983,82605,147.7,2210.5,Very high
Allegany County,1/1/1984,80835,111.3,2185.9,Very high
Allegany County,1/1/1985,77655,114.6,2196.9,Very high
Allegany County,1/1/1986,78947,153.3,2387.7,Very high
Allegany County,1/1/1987,75697,202.1,2454.5,Very high
Allegany County,1/1/1988,76500,213.1,2572.5,Very high
Allegany County,1/1/1989,76375,250.1,2735.2,Very high
Allegany County,1/1/1990,74946,317.6,2868.7,Very high
Allegany County,1/1/1991,76175,417.5,2823.8,Very high
Allegany County,1/1/1992,76925,470.6,3027.6,Very high
Allegany County,1/1/1993,75274,504.8,2759.3,Very high
Allegany County,1/1/1994,75891,441.4,2765.8,Very high
Allegany County,1/1/1995,74394,547.1,2614.5,Very high
Allegany County,1/1/1996,74833,439.6,2955.9,Very high
Allegany County,1/1/1997,75155,484.3,2992.5,Very high
Allegany County,1/1/1998,72871,391.1,3143.9,Very high
Allegany County,1/1/1999,71845,393.9,2917.4,Very high
Allegany County,1/1/2000,74930,361.7,2812,Very high
Allegany County,1/1/2001,76043,420.8,3090.4,Very high
Allegany County,1/1/2002,77216,304.3,2762.4,Very high
Allegany County,1/1/2003,74893,349.8,3043,Very high
Allegany County,1/1/2004,74325,437.3,2723.2,Very high
Allegany County,1/1/2005,74434,349.3,2751.4,Very high
Allegany County,1/1/2006,73841,381.9,2994.3,Very high
Allegany County,1/1/2007,71977,364,3138.5,Very high
Allegany County,1/1/2008,71806,334.2,3095.8,Very high
Allegany County,1/1/2009,72312,446.7,3148.9,Very high
Allegany County,1/1/2010,72721,429,3528.6,Very high
Allegany County,1/1/2011,75799,331.1,3320.6,Very high
Allegany County,1/1/2012,75413,355.4,3370.8,Very high
Allegany County,1/1/2013,73834,337.2,3234.3,Very high
Allegany County,1/1/2014,73299,274.2,3245.6,Very high
Allegany County ,1/1/2015,72230,301.8,3145.5,Very high
Allegany County ,1/1/2016,71622,342.1,2895.8,Very high
Anne Arundel County,1/1/1975,331390,608.6,6151.1,High
Anne Arundel County,1/1/1976,340345,304.4,5203,High
Anne Arundel County,1/1/1977,347538,341.3,4980.8,High
Anne Arundel County,1/1/1978,363169,315,4398.8,High
Anne Arundel County,1/1/1979,361749,311.3,4513.4,High
Anne Arundel County,1/1/1980,370099,352.3,5137,High
Anne Arundel County,1/1/1981,376172,376.4,5055.9,High
Anne Arundel County,1/1/1982,376525,362.8,4623.6,High
Anne Arundel County,1/1/1983,379967,390.6,4055.6,High
Anne Arundel County,1/1/1984,388659,415.3,3947.2,High
Anne Arundel County,1/1/1985,392718,445.6,3920.9,High
Anne Arundel County,1/1/1986,399108,376.1,4563.7,High
Anne Arundel County,1/1/1987,412522,342.3,4337,High
Anne Arundel County,1/1/1988,422647,354,4143.4,High
Anne Arundel County,1/1/1989,424124,355.3,4116,High
Anne Arundel County,1/1/1990,427239,380.6,4441.1,High
Anne Arundel County,1/1/1991,434253,425.6,4616,High
